id,业务方向,典型产品/项目,项目类型,方向,来源生态
1,AI 助手与搜索,ChatGPT / Claude / Gemini / Perplexity,AI/ML应用,行业知识助手、研究 Copilot、企业问答,AI Web
2,AI 工作流,Zapier AI / Make / n8n Cloud,全栈Web应用,客服自动化、销售自动化、运营自动化,AI Web
3,AI 视频与内容,Runway / Synthesia / Descript / HeyGen,AI/ML应用,短视频生成、课程视频、营销视频,AI Web
4,AI 写作与营销,Jasper / Copy.ai / Grammarly / QuillBot,AI/ML应用,广告文案、邮件营销、品牌内容生成,AI Web
5,AI Agent / RAG,LangChain / LlamaIndex / Dify / AutoGen / CrewAI,AI/ML应用,行业 Agent、RAG 平台、私有化 AI 助手,GitHub
6,本地模型推理,Ollama / llama.cpp / vLLM / LocalAI,AI/ML应用,本地 AI 助手、模型管理、推理网关,GitHub
7,向量数据库,Milvus / Weaviate / Qdrant / Chroma / pgvector,AI/ML应用,企业知识库、语义搜索、文档问答,GitHub
8,低代码与内部工具,Appsmith / ToolJet / NocoBase / Budibase,全栈Web应用,运营后台、CRM、审批流、管理系统,GitHub
9,教育与导航,freeCodeCamp / developer-roadmap / awesome-selfhosted,全栈Web应用,学习平台、知识导航、课程产品,GitHub
10,营销转化,Klaviyo / Privy / Omnisend / SMSBump,全栈Web应用,邮件短信营销、弃购召回、自动化营销,Shopify App Store
11,评价与社证,Judge.me / Loox / Yotpo / Trustpilot,全栈Web应用,商品评价、UGC 展示、转化率提升,Shopify App Store
12,Upsell 与 Bundles,ReConvert / Bold Upsell / Frequently Bought Together,全栈Web应用,加购推荐、组合销售、客单价提升,Shopify App Store
13,物流与履约,ShipStation / AfterShip / Easyship / Shippo,全栈Web应用,订单追踪、跨境物流、运费计算,Shopify App Store
14,店铺设计,PageFly / GemPages / Shogun / Replo,Web前端,落地页生成、A/B 测试、主题编辑,Shopify App Store
15,商品采购,DSers / Spocket / Printful / Printify,全栈Web应用,Dropshipping、POD、供应商同步,Shopify App Store
16,项目协作,Jira Cloud / Asana / Trello / ClickUp,全栈Web应用,任务同步、状态提醒、项目更新,Slack / Atlassian
17,客服与工单,Zendesk / Intercom / Freshdesk / Halp,全栈Web应用,工单创建、客服协作、SLA 提醒,Slack App Directory
18,HR 与团队,Donut / Polly / Lattice / Culture Amp,全栈Web应用,新人融入、脉搏调查、绩效反馈,Slack App Directory
19,Jira 项目管理,Tempo / Structure / BigPicture / Planning Poker,全栈Web应用,工时、组合项目、排期、需求估算,Atlassian Marketplace
20,测试管理,Zephyr / Xray / TestRail Integration,全栈Web应用,测试用例、测试报告、缺陷追踪,Atlassian Marketplace
21,Confluence 知识库,draw.io / Scroll Viewport / Comala Document Management,全栈Web应用,图表、文档审批、知识门户,Atlassian Marketplace
22,CRM 增强,DocuSign / Conga / ZoomInfo / LinkedIn Sales Navigator,全栈Web应用,合同签署、销售情报、客户数据增强,Salesforce AppExchange
23,客服与呼叫中心,Five9 / Talkdesk / Genesys / ServiceNow Connector,全栈Web应用,呼叫中心、客服工单、客户360,Salesforce AppExchange
24,营销自动化,Mailchimp / HubSpot / Marketo Connectors,全栈Web应用,线索培育、邮件营销、ROI 分析,Salesforce / HubSpot
25,增长营销,Mailchimp / Typeform / Hotjar / Zapier,全栈Web应用,表单获客、用户行为、自动化触达,HubSpot Marketplace
26,销售运营,Aircall / PandaDoc / Chili Piper / ZoomInfo,全栈Web应用,电话销售、报价、预约、线索丰富,HubSpot Marketplace
27,客户支持,Slack / Shopify / Jira / Tymeshift / Klaus,全栈Web应用,客服协作、质量评估、工单同步,Zendesk Marketplace
28,会议协作,Otter.ai / Miro / Calendly / Grain / Fathom,全栈Web应用,会议转写、摘要、排期、回放分析,Zoom App Marketplace
29,内容填充,Content Reel / Google Sheets Sync / Unsplash,Web前端,批量文案、图片素材、数据填充,Figma Community
30,SEO 与内容,Yoast SEO / Rank Math / AIOSEO,全栈Web应用,SEO 优化、内容结构、站点增长,WordPress Plugin Directory
31,电商与会员,WooCommerce / Easy Digital Downloads / MemberPress,全栈Web应用,在线商店、数字商品、会员订阅,WordPress Plugin Directory
32,数据与 AI,Snowflake / Databricks / MongoDB Atlas / Elastic,数据分析与可视化,数据仓库、搜索、湖仓、AI 数据底座,AWS Marketplace
33,监控与运维,New Relic / Splunk / Grafana Cloud / Sumo Logic,数据分析与可视化,日志、指标、链路、告警,AWS Marketplace
34,项目协作,Slack + GitHub / Zenhub / Jira GitHub Integration,全栈Web应用,PR 通知、Issue 同步、研发工作流,GitHub Marketplace
35,模板与数据库,Notion Templates / Airtable Extensions / Softr,全栈Web应用,个人管理、CRM、项目数据库、门户站,Notion / Airtable
36,内容与设计,AI Image Apps / QR Code / Brandfetch / Mockups,Web前端,社媒内容、品牌素材、营销图片,Canva Apps Marketplace
37,开源部署,Postgres / Redis / Nginx / n8n / Supabase Stack,全栈Web应用,一键部署、私有化应用、开发环境,Docker Hub
