index,name,rating,description
1,Image Downloader,3.7,Browse and download images on the web
2,Adobe Photoshop,3.8,轻松移除背景、调整颜色等。此外，还可免费使用 Photoshop 网页版 6 个月。
3,Sumopaint - Online Image Editor,3.5,Sumopaint is a full featured painting and image editing application.
4,OceanHero: Save Our Oceans by Surfing the Web,4.6,Join the movement to fight ocean plastic. Your searches help support real cleanup efforts.
5,Muzli - Design inspiration hub,4.5,"Your daily dose of design with industry news, tools, and inspiration - all in one place."
6,Image Downloader - Save pictures,4.6,"Find, choose and download images you need from any web pages or select all to bulk image download at once."
7,Download All Images,4.3,"Easily save images with a wide range of customization features, such as file size, dimensions, and image type."
8,Custom Calendar Background,3.7,Adds background images to Google Calendar
9,Save to Cosmos,4.5,Saving extension for Chrome
10,Tabliss - A Beautiful New Tab,4.7,A beautiful New Tab page with many customisable backgrounds and widgets that does not require any permissions.
11,EXIF Viewer Classic,3.5,Quickly access EXIF data of your photos
12,Bulk Image Downloader,4.0,"Bulk download images from multiple tabs in one click. Supports AVIF, WebP & AI-generated images. Filter by resolution and file type."
13,Enhanced Image Viewer,4.5,更好的 Chrome 图片查看体验
14,Unsplash Instant,4.6,Beautiful photos from Unsplash in your new tabs.
15,图片编辑器 图像 PhotoStudio,3.6,PhotoStudio 创建和编辑照片和图像在线
16,消除图像背景,4.7,图片背景消除工具可帮助您免费且轻松地消除图像背景。在浏览器中选择图像或上传一个。
17,一键图片下载器 - Grabit,3.5,一键下载图片。功能强大的下载器，支持原始尺寸保存、批量下载与自动滚动抓取。
18,Button Stealer,4.9,从你访问的网站中“偷走”按钮。照常浏览网页，看着你偷来的按钮收藏一点点变多。
19,Backgrounds for Chrome-Chan,3.9,Sets a random anime wallpaper for your new tabs.
20,imgur Uploader,3.7,Right-click uploading of images and screenshots anonymously or to your imgur account.
21,Dreamy - Anime HD New Tab Sharing App,4.9,Fill your new tab with stunning HD scenery from anime and games. Share your photos and videos with the community.
22,Stencil,3.9,Instantly add text to any image - just right-click!
23,View Image Button,3.8,Bring back the view image button for Google image search results.
24,Photo Editor,5.0,A simple in-browser photo editor - use this when you want to do some quick edits to your photos
25,AI Image of the Day,3.8,AI Image of the Day. This extension replaces the new tab with a new background image. The image are generated by AI.
26,Art New tabs,4.3,The best art wallpaper images with our extension!
27,YouTube Jambofy v3.0,4.7,"Improves boring youtube thumbnails with Jambofy, animefy, dogify & more!"
28,Fontstorage,4.4,The simplest extension for identifying and selecting fonts on a website.
29,Mandala Maker,4.8,Make beautiful and intricate mandala drawings with few easy steps
30,BeFunky Extension,4.0,Instantly edit web page images and screenshots with BeFunky Photo Editor
31,Ambient Aurea for Google Chrome,4.7,Instantly craft stunning photo galleries with ambient lighting effects in a single click.
32,Home page by Scott,4.8,"Home page with a new photo each day, by Scott Sheppeard."
33,Peel Banana,4.7,"Remove Gemini AI watermarks from images. Privacy safe - 100% local, images never uploaded."
34,resizemy.photos,4.0,Resize or crop any photo or image from any website or upload your own image
35,Top Car Wallpapers with News & Reviews,4.4,Top Speed new tab page provides a large variety of stunning car wallpapers with the latest car news and new model reviews.
36,Astronomy Calendar for celestial events,4.6,Replaces the New Tab background with an interactive calendar with background space images taken by Maroun Habib / Moophz.
37,Color Buddy,5.0,Color selection tool
38,Save To Google Photos,3.9,Save to Google Photos! Right click to save a picture.
39,Tweaks for VSCO,4.7,"View and download full-size images on vsco.co website. Includes custom gallery viewer - change theme, thumbnail size, and more."
40,XPaint 图像编辑器和画家,3.2,使用XPaint创建或编辑图像
41,Free Fire,5.0,Bring the thrill of Free Fire to your browser!
42,Transpose by Chordify,3.6,Transposes the audio when using the transpose feature on Chordify. Also works on YouTube.
43,Pastel Pink YouTube,3.9,Changes the background color of YouTube pages to a pastel pink color.
44,Bulk Image Downloader - ImgHunt,4.7,A modern image downloader extension. Find and download images from any web pages.
45,图像调整大小工具,4.8,🖼️ 在线使用图像调整大小工具调整图像大小、裁剪图像和压缩照片。非常适合社交媒体、网页和批量调整大小。
46,Spatium,4.7,Beautiful space images and information of your current sky map location on every new tab.
47,Tiny Sketchbook by cloudHQ,4.8,"Create, collaborate, and share your tiny sketchbook doodle art projects"
48,PhotOSINT,3.7,"OSINT tool for images. Scans page for images with EXIF metadata, while browsing. Also has context menu options for images."
49,Background Image for Google Docs™ & Slides™,4.3,Add a beautiful image to Google Docs™ and Google Slides™ background while editing. Not affiliated with Google.
50,Image Parser,4.2,"Find and aggregate images on a page, allowing you to download images even from so-called ""protected"" pages."
51,Speed Dial Dogs,4.1,Speed Dial allows you to add and manage bookmarks in the New Tab page.
52,ArtsyTabs,4.8,See detailed views of artwork from the National Gallery of Art's collection
53,Image Upscaler,3.0,Upscale an image using artificial intelligence or a native HTML5 engine in your browser!
54,图像分割器,4.9,🪟 使用图像分割器轻松分割或更改图像大小、裁剪、调整大小并创建照片网格！你完美的网格制作工具！
55,Prompt Catalyst,4.7,"Your ultimate companion for creating image prompts for AI image generators such as Midjourney, Flux, Stable Diffusion, DALLE."
56,Cosmos Eyes from NASA,4.5,Enjoy amazing and beautiful space-time photographs on new tab.
57,Behance New Tab,4.7,Get inspired by new Behance projects.
58,漫步 Unsplash,4.3,使用惊艳的 Unsplash 照片提升您的浏览体验，开启每个全新标签页。简约、美丽，且无广告。
59,Image Downloader Pro - 批量下载网站图片,4.8,在几秒钟内批量下载并保存网站图片。使用过滤器、预览结果，并自定义文件名。
60,Cat Cursor ♥ Custom Cursor for Chrome™,5.0,"60+ cute cat cursors! Featuring Pusheen, Nyan Cat, Garfield, Crying Cat & many more!"
61,Themefy,4.9,Animations and interactive background in every tab
62,免费AI诗歌生成器: AIFreeBox,3.7,免费AI诗歌生成器：快速创作优美诗歌。利用AI驱动工具将想法转化为引人入胜的诗歌，由AIFreeBox提供。
